user_id,final_outbreak,std_outbreak,attack_rate,epidemic_probability,peak_infection,time_to_peak,duration,R0,growth_rate,strength,pagerank,eigenvector_centrality,approximate_current_flow_betweenness,clustering
3464,977.0,325.34474023718286,0.8444252376836646,0.9,832.55,2.95,45.5,15.6,0.8942538700341781,861.5603506981744,0.0011845780717882665,0.03706126387551356,0.001502216623766841,0.6747428257055612
373,976.95,325.3331331112772,0.8443820224719102,0.9,826.95,3.4,50.65,10.3,1.011878379532976,542.5690203094684,0.0007689928875152361,0.025830297584761137,0.0009376588649073682,0.733611137854674
6942,976.9,325.3244380614528,0.8443388072601555,0.9,825.35,2.95,47.5,14.6,0.9144956441785443,809.1282121156496,0.0011052553983163917,0.03543573782173396,0.0014012816367695753,0.6900117267827424
5794,976.9,325.31644594148634,0.8443388072601555,0.9,826.7,3.25,48.35,11.65,0.977871083025652,707.4398119230752,0.0009714116490575696,0.03211523343205943,0.001106702679128589,0.7228770690566529
5956,976.9,325.3229011305537,0.8443388072601555,0.9,822.75,3.15,44.9,11.65,0.9704661840186346,602.2937673418688,0.0008410855303364103,0.028182092015809807,0.0009896056146720404,0.7341508777513179
1969,976.9,325.31106651941616,0.8443388072601555,0.9,827.75,3.05,45.95,14.2,0.9259492919606678,797.4111918894023,0.0010898615830464168,0.035068601781929505,0.0012778058983432255,0.6936859568312093
6737,976.85,325.3112778555333,0.8442955920484011,0.9,841.55,3.6,46.3,5.35,1.2067360629571964,323.33634158062813,0.0005096783523691215,0.01616086661973972,0.000557571694277393,0.7104322352248171
2201,976.85,325.30205578815514,0.8442955920484011,0.9,823.3,3.25,44.9,13.7,0.9346519323748385,799.7572744016499,0.0010899967726018295,0.035223913494981864,0.001324807461452259,0.6982727122040955
5033,976.85,325.29406311828075,0.8442955920484011,0.9,838.85,3.55,44.85,7.15,1.1310494532626638,453.43472966065445,0.0006631264907950059,0.022041715375244637,0.0008338425419155822,0.7193819164477604
6211,976.85,325.30097986326444,0.8442955920484011,0.9,828.3,3.4,49.0,9.9,1.027945492643914,594.2710294632183,0.0008315575245493674,0.027864046498226613,0.0009596503437989675,0.7340662268971051
5560,976.85,325.2954464790431,0.8442955920484011,0.9,843.2,3.6,43.85,5.95,1.1693733386347607,282.7994854738009,0.0004623637293238359,0.014250447808330246,0.0005467553951254545,0.7097288145337265
5595,976.85,325.3089723631981,0.8442955920484011,0.9,833.15,3.1,45.5,14.7,0.9223087096178904,759.2188504719088,0.0010366613357276385,0.033889609293442896,0.0012125795915854769,0.7089423170873517
981,976.85,325.29421682532256,0.8442955920484011,0.9,837.2,2.95,47.0,14.3,0.9171555341270827,805.2976846079946,0.001099093989974567,0.03536943784546765,0.0013358991775622696,0.6947331962537672
3262,976.8,325.28166256338517,0.8442523768366464,0.9,824.75,3.4,44.45,9.65,1.0246414857272093,535.9379436754225,0.0007611076142747757,0.02556442093416502,0.0009358665681444491,0.733524017549517
