user_id,final_outbreak,std_outbreak,attack_rate,epidemic_probability,peak_infection,time_to_peak,duration,R0,growth_rate,strength,pagerank
2952,1044.25,239.36726488807946,0.9025496974935178,0.95,908.75,2.85,48.1,38.45,0.5841684982497771,867.0169571226328,0.0012032410726499883
5572,1044.25,239.35494041276857,0.9025496974935178,0.95,956.1,2.9,50.3,8.1,1.0158234745937822,170.65511191458236,0.00033147000056107153
4919,1044.25,239.37374020556223,0.9025496974935178,0.95,916.2,2.85,52.6,32.3,0.6263174784278513,682.9210313991716,0.001105379549660747
2227,1044.25,239.37499347258475,0.9025496974935178,0.95,906.0,2.85,46.95,39.8,0.5667972754745992,816.5837791680347,0.0011170477878239748
7142,1044.25,239.3681004227589,0.9025496974935178,0.95,910.8,2.85,47.2,39.05,0.5836032595010927,874.3798100496268,0.0012218985780515922
4896,1044.2,239.35655411958118,0.9025064822817632,0.95,924.45,2.85,48.85,25.0,0.6905949336757922,572.5489210494466,0.0008082566180133807
226,1044.2,239.36365638918537,0.9025064822817632,0.95,913.0,2.85,50.3,37.6,0.5867398403999484,817.6007843346605,0.001118668239271288
6684,1044.15,239.34980154577107,0.9024632670700087,0.95,906.05,2.85,50.1,40.5,0.5679067154848102,857.425437732489,0.0011794203722264168
6434,1044.15,239.34875704711735,0.9024632670700087,0.95,927.4,2.85,47.35,24.8,0.693578810105708,524.6343380145457,0.0007474918772483061
1030,1044.1,239.3208933628654,0.902420051858254,0.95,911.25,2.85,49.7,35.8,0.5971782766043441,723.8559123011715,0.0009914188952418485
6809,1044.1,239.32778777233537,0.902420051858254,0.95,915.9,2.85,51.45,38.8,0.5799142590100704,794.7612609049096,0.0010864736353154891
2295,1044.05,239.31704389783857,0.9023768366464995,0.95,931.1,2.85,46.4,22.9,0.7149445483845751,516.1750427418638,0.0008476887196517694
6702,1044.05,239.32393841820337,0.9023768366464995,0.95,908.55,2.85,48.7,37.15,0.5863445156445006,793.9936055036452,0.001107261054439715
4565,1044.05,239.30576152696366,0.9023768366464995,0.95,928.55,2.85,47.75,24.1,0.7021034738905577,517.7720089146816,0.000739390213780118
19,1044.05,239.31620818490333,0.9023768366464995,0.95,909.95,2.85,46.4,39.9,0.5722956280951771,867.9393260592274,0.0012130536543629251
3462,1044.05,239.3193420933628,0.9023768366464995,0.95,915.25,2.85,46.3,31.0,0.6321720514193977,668.6502463141809,0.0009220522877909689
